player_name,goals,matches_played,goals_per_match
Lindiwe Tshabalala,8,19,0.42105263157894735
Kabelo Phiri,43,103,0.41747572815533979
Kagiso Phiri,84,202,0.41584158415841582
Thabo Phiri,105,259,0.40540540540540543
Vusi Mthembu,82,205,0.4
Khanyi Dlamini,10,25,0.4
Nokuthula Ngobeni,86,216,0.39814814814814814
Vusi Khumalo,59,149,0.39597315436241609
Nokuthula Mabena,114,290,0.39310344827586208
Lebogang Tshabalala,48,124,0.38709677419354838
Thabo Sithole,68,180,0.37777777777777777
Lebogang Molefe,23,61,0.37704918032786883
Karabo Hlongwane,3,8,0.375
Lindiwe Radebe,3,8,0.375
Nomsa Khumalo,82,224,0.36607142857142855
Mpho Mahlangu,97,268,0.36194029850746268
Ayanda Molefe,77,213,0.36150234741784038
Thabo Ndlovu,98,272,0.36029411764705882
Sibusiso Mokoena,65,183,0.3551912568306011
Vusi Mabena,113,323,0.34984520123839008
Gugu Mahlangu,106,303,0.34983498349834985
Khanyi Nkosi,92,270,0.34074074074074073
Karabo Nkosi,72,216,0.33333333333333331
Siyanda Mahlangu,6,18,0.33333333333333331
Lerato Sithole,91,275,0.33090909090909093
Siyanda Mabena,118,357,0.33053221288515405
Nokuthula Dlamini,109,330,0.33030303030303032
Gugu Mokoena,44,136,0.3235294117647059
Tumelo Mthembu,19,59,0.32203389830508472
Lerato Mashaba,77,241,0.31950207468879666
Gugu Hlongwane,98,307,0.31921824104234525
Ayanda Mokoena,105,329,0.31914893617021278
Lebogang Phiri,90,292,0.30821917808219179
Khanyi Ndlovu,58,192,0.30208333333333331
Sibusiso Baloyi,75,251,0.29880478087649404
Zanele Mabaso,106,359,0.29526462395543174
Zanele Zulu,82,281,0.29181494661921709
Sipho Mashaba,47,162,0.29012345679012347
Siyanda Molefe,47,163,0.28834355828220859
Mandla Baloyi,73,254,0.2874015748031496
Zanele Ndlovu,64,230,0.27826086956521739
Kagiso Zulu,89,327,0.27217125382262997
Tumelo Ngobeni,4,15,0.26666666666666666
Sibusiso Hlongwane,42,158,0.26582278481012656
Thembi Phiri,102,384,0.265625
Lindiwe Phiri,57,218,0.26146788990825687
Zanele Phiri,55,211,0.26066350710900477
Kagiso Molefe,71,275,0.25818181818181818
Lindiwe Zulu,58,230,0.25217391304347825
Vusi Molefe,99,398,0.24874371859296482
Nomsa Mahlangu,80,322,0.2484472049689441
Mandla Mabena,98,398,0.24623115577889448
Khanyi Nkosi,75,316,0.23734177215189872
Nomsa Zulu,81,343,0.23615160349854228
Kagiso Phiri,41,175,0.23428571428571429
Tumelo Ngobeni,32,137,0.23357664233576642
Nokuthula Mabena,7,30,0.23333333333333334
Karabo Hlongwane,43,185,0.23243243243243245
Kabelo Phiri,43,185,0.23243243243243245
Gugu Mashaba,35,154,0.22727272727272727
Tumelo Khumalo,39,177,0.22033898305084745
Khanyi Ngobeni,29,142,0.20422535211267606
Thabo Mthembu,22,108,0.20370370370370369
Karabo Phiri,72,356,0.20224719101123595
Nokuthula Ndlovu,9,46,0.19565217391304349
Ayanda Khumalo,59,303,0.19471947194719472
Lerato Mabena,62,322,0.19254658385093168
Sipho Nkosi,33,172,0.19186046511627908
Tumelo Khumalo,48,252,0.19047619047619047
Mandla Mahlangu,4,22,0.18181818181818182
Kagiso Molefe,5,28,0.17857142857142858
Lerato Mabaso,29,165,0.17575757575757575
Siyanda Dlamini,9,53,0.16981132075471697
Tumelo Dlamini,9,53,0.16981132075471697
Nomsa Molefe,56,336,0.16666666666666666
Karabo Molefe,58,351,0.16524216524216523
Lebogang Mashaba,35,225,0.15555555555555556
Thembi Tshabalala,55,358,0.15363128491620112
Lebogang Phiri,12,81,0.14814814814814814
Siyanda Mabaso,47,319,0.14733542319749215
Thabo Mashaba,7,48,0.14583333333333334
Sibusiso Molefe,48,349,0.13753581661891118
Lindiwe Mabena,53,397,0.13350125944584382
Kabelo Mahlangu,6,45,0.13333333333333333
Thabo Mabena,40,300,0.13333333333333333
Gugu Mokoena,19,149,0.12751677852348994
Lindiwe Radebe,18,143,0.12587412587412589
Kagiso Baloyi,10,81,0.12345679012345678
Nomsa Tshabalala,21,171,0.12280701754385964
Lebogang Zulu,37,304,0.12171052631578948
Ayanda Molefe,26,221,0.11764705882352941
Kagiso Mabaso,3,26,0.11538461538461539
Khanyi Ndlovu,9,83,0.10843373493975904
Sibusiso Radebe,36,335,0.10746268656716418
Nomsa Mthembu,5,47,0.10638297872340426
Karabo Zulu,23,220,0.10454545454545454
Lebogang Mashaba,5,48,0.10416666666666667
Siyanda Baloyi,25,243,0.102880658436214
Boitumelo Mabaso,8,80,0.1
Kagiso Tshabalala,36,375,0.096
Karabo Phiri,28,303,0.0924092409240924
Nomsa Dlamini,22,251,0.087649402390438252
Lebogang Mahlangu,7,95,0.073684210526315783
Lerato Dlamini,13,177,0.073446327683615822
Mandla Sithole,9,124,0.072580645161290328
Thembi Dlamini,24,341,0.070381231671554259
Sibusiso Dlamini,23,336,0.068452380952380959
Sipho Ngobeni,16,238,0.067226890756302518
Tumelo Dlamini,8,119,0.067226890756302518
Boitumelo Mabena,7,107,0.065420560747663545
Ayanda Mthembu,10,153,0.06535947712418301
Lindiwe Dlamini,18,279,0.064516129032258063
Lebogang Sithole,7,110,0.06363636363636363
Thembi Zulu,4,65,0.061538461538461542
Thabo Sithole,14,229,0.0611353711790393
Mpho Radebe,18,295,0.061016949152542375
Nokuthula Mabena,10,167,0.059880239520958084
Thabo Phiri,18,301,0.059800664451827246
Mandla Baloyi,4,67,0.059701492537313432
Lerato Tshabalala,10,168,0.059523809523809521
Karabo Mthembu,15,257,0.058365758754863814
Khanyi Phiri,5,90,0.055555555555555552
Kagiso Mokoena,7,127,0.055118110236220472
Khanyi Zulu,9,170,0.052941176470588235
Lindiwe Tshabalala,12,235,0.05106382978723404
Nomsa Hlongwane,3,59,0.050847457627118647
Sipho Mabaso,6,122,0.049180327868852458
Lebogang Mabena,18,377,0.047745358090185673
Kagiso Mthembu,10,216,0.046296296296296294
Nokuthula Hlongwane,2,44,0.045454545454545456
Nomsa Radebe,17,376,0.045212765957446811
Nokuthula Baloyi,7,164,0.042682926829268296
Zanele Tshabalala,3,73,0.0410958904109589
Mandla Mahlangu,13,320,0.040625
Vusi Mahlangu,10,248,0.040322580645161289
Kabelo Mabena,12,305,0.039344262295081971
Karabo Sithole,7,181,0.038674033149171269
Khanyi Mthembu,7,196,0.035714285714285712
Vusi Hlongwane,3,84,0.035714285714285712
Thembi Khumalo,4,117,0.034188034188034191
Tumelo Mokoena,11,326,0.033742331288343558
Mpho Tshabalala,8,241,0.033195020746887967
Nomsa Mahlangu,9,272,0.033088235294117647
Siyanda Ndlovu,4,121,0.033057851239669422
Sibusiso Khumalo,7,216,0.032407407407407406
Mandla Mthembu,8,249,0.0321285140562249
Thembi Mthembu,10,325,0.030769230769230771
Kabelo Mahlangu,6,196,0.030612244897959183
Thabo Mashaba,2,67,0.029850746268656716
Boitumelo Ndlovu,9,305,0.029508196721311476
Thabo Ndlovu,9,306,0.029411764705882353
Nomsa Ndlovu,5,170,0.029411764705882353
Sipho Ndlovu,9,307,0.029315960912052116
Khanyi Mahlangu,7,239,0.029288702928870293
Nokuthula Mahlangu,7,249,0.028112449799196786
Karabo Mthembu,5,178,0.028089887640449437
Sibusiso Radebe,3,107,0.028037383177570093
Sibusiso Ndlovu,6,217,0.027649769585253458
Thabo Khumalo,9,326,0.027607361963190184
Boitumelo Mokoena,8,290,0.027586206896551724
Lebogang Mabaso,7,266,0.026315789473684209
Lebogang Mashaba,7,267,0.026217228464419477
Thembi Mthembu,6,229,0.026200873362445413
Lebogang Mashaba,10,384,0.026041666666666668
Gugu Mabena,4,155,0.025806451612903226
Siyanda Mokoena,8,311,0.025723472668810289
Khanyi Tshabalala,3,118,0.025423728813559324
Mpho Tshabalala,9,355,0.025352112676056339
Gugu Ngobeni,7,282,0.024822695035460994
Mpho Mashaba,9,364,0.024725274725274724
Lerato Mabena,4,163,0.024539877300613498
Siyanda Mabaso,4,164,0.024390243902439025
Kabelo Mokoena,3,126,0.023809523809523808
Mandla Radebe,6,252,0.023809523809523808
Lindiwe Mabaso,8,350,0.022857142857142857
Mandla Khumalo,9,396,0.022727272727272728
Thembi Mashaba,4,179,0.0223463687150838
Thembi Tshabalala,7,324,0.021604938271604937
Ayanda Mabaso,6,279,0.021505376344086023
Karabo Phiri,8,375,0.021333333333333333
Siyanda Radebe,6,294,0.020408163265306121
Gugu Radebe,6,295,0.020338983050847456
Siyanda Mokoena,3,156,0.019230769230769232
Tumelo Dlamini,5,260,0.019230769230769232
Vusi Dlamini,6,318,0.018867924528301886
Gugu Molefe,7,379,0.018469656992084433
Mpho Hlongwane,6,327,0.01834862385321101
Ayanda Khumalo,4,227,0.017621145374449341
Nomsa Ndlovu,5,288,0.017361111111111112
Nokuthula Sithole,2,116,0.017241379310344827
Gugu Mokoena,2,117,0.017094017094017096
Nomsa Dlamini,3,176,0.017045454545454544
Kagiso Khumalo,6,373,0.0160857908847185
Thembi Nkosi,6,380,0.015789473684210527
Nomsa Hlongwane,3,195,0.015384615384615385
Thabo Khumalo,4,261,0.01532567049808429
Mandla Khumalo,3,197,0.015228426395939087
Nomsa Hlongwane,6,396,0.015151515151515152
Kabelo Mabena,5,346,0.014450867052023121
Lerato Ngobeni,2,140,0.014285714285714285
Gugu Mashaba,3,211,0.014218009478672985
Kabelo Nkosi,5,362,0.013812154696132596
Sipho Hlongwane,4,290,0.013793103448275862
Thabo Tshabalala,3,221,0.013574660633484163
Lerato Khumalo,4,304,0.013157894736842105
Mandla Baloyi,4,305,0.013114754098360656
Mandla Mabena,5,386,0.012953367875647668
Sipho Mabaso,4,335,0.011940298507462687
Boitumelo Phiri,3,261,0.011494252873563218
Lindiwe Hlongwane,4,363,0.011019283746556474
Lerato Tshabalala,2,186,0.010752688172043012
Thembi Sithole,3,279,0.010752688172043012
Vusi Nkosi,4,387,0.0103359173126615
Nomsa Zulu,2,195,0.010256410256410256
Zanele Mokoena,2,197,0.01015228426395939
Lerato Khumalo,3,300,0.01
Karabo Mokoena,3,308,0.00974025974025974
Khanyi Baloyi,2,208,0.0096153846153846159
Vusi Phiri,3,314,0.0095541401273885346
Boitumelo Radebe,1,110,0.00909090909090909
Sipho Radebe,3,358,0.0083798882681564244
Zanele Mokoena,3,369,0.008130081300813009
Khanyi Ndlovu,3,392,0.0076530612244897957
Thembi Mahlangu,1,135,0.0074074074074074077
Ayanda Zulu,2,275,0.0072727272727272727
Kagiso Mashaba,2,329,0.0060790273556231
Khanyi Baloyi,2,346,0.0057803468208092483
Thabo Sithole,2,364,0.0054945054945054949
Sibusiso Mthembu,2,370,0.0054054054054054057
Sipho Hlongwane,1,185,0.0054054054054054057
Gugu Nkosi,2,400,0.005
Lebogang Molefe,1,229,0.0043668122270742356
Lindiwe Molefe,1,246,0.0040650406504065045
Lindiwe Phiri,1,255,0.00392156862745098
Sipho Radebe,1,262,0.0038167938931297708
Thembi Mokoena,1,296,0.0033783783783783786
Nomsa Molefe,1,311,0.0032154340836012861
Thabo Baloyi,1,315,0.0031746031746031746
Gugu Molefe,1,361,0.0027700831024930748
Lindiwe Mabaso,1,392,0.0025510204081632651
Mandla Ndlovu,0,296,0
Khanyi Ndlovu,0,232,0
Boitumelo Radebe,0,238,0
Kagiso Hlongwane,0,94,0
Tumelo Zulu,0,26,0
Sipho Mabena,0,36,0
Sipho Khumalo,0,250,0
Thembi Ngobeni,0,66,0
Ayanda Mabaso,0,95,0
Karabo Mthembu,0,280,0
Thembi Ndlovu,0,5,0
Kagiso Mokoena,0,294,0
